ma_vt,ma_vt2,gia_nt2
KGB47000800     ,KG6101N         ,3700000
KGB47000900     ,KG6107          ,3960000
KGB48000100     ,KG6303P         ,1078000
KGB48000600     ,KG6002          ,759000
KGB48000700     ,KG6003          ,780000
KGB48001200     ,KG6304          ,400000
KGB48002100     ,KG6306P         ,570000
KGE05001600     ,KG60            ,3630000
KGE05003300     ,KG660H          ,2200000
KGE05003400     ,KG664H          ,2178000
KGE05005300     ,KG69A2N         ,2900000
KGE05005400     ,KG69A3          ,3500000
KGE05005800     ,KG518           ,2392500
KGE18004300     ,DI2424          ,7200000
KGE18004900     ,PT2426          ,8550000
KGE18006200     ,GD2830          ,12221000
KGH01006802     ,KG-120          ,13400000
KGH03004500     ,KG104A          ,3080000
KGH03004504     ,KG-104          ,3490000
KGH03004505     ,KG-104VTU       ,4100000
KGH03004800     ,KG108A          ,4290000
KGH03004900     ,KG109A          ,4136000
KGH03004904     ,KG109AVTU       ,3600000
KGH03004904     ,KG109AVTU       ,5490000
KGH03005200     ,KG100HQ         ,5665000
KGH03005300     ,KG123HQ         ,30083000
KGH03005300     ,KG123HQ         ,39325000
KGH03005300     ,KG123HQ         ,43450000
KGH03005502     ,KG100HAVTU      ,6270000
KGH03005502     ,KG100HAVTU      ,6600000
KGH03005502     ,KG100HAVTU      ,8690000
KGH03006200     ,KG06VTU         ,3950000
KGH03006400     ,KG110A          ,5390000
KGH03006400     ,KG110A          ,6380000
KGH03006500     ,KG-110          ,4500000
KGH03006601     ,KGMC09VTU       ,4114000
KGH03006900     ,KG02G4          ,4520000
KGH03006901     ,KG02G4VTU       ,5170000
KGH03007200     ,KG100HP         ,5630300
KGH03007300     ,VTUDIA          ,720000
KGH03007900     ,KG02G3          ,616000
KGH03007900     ,KG02G3          ,646100
KGH03008200     ,KG300VN         ,9950000
KGH03008601     ,KG10A3VTU       ,5753600
KGH03008601     ,KG10A3VTU       ,5990000
KGH03009700     ,KG100HCVTU      ,6300000
KGH03010601     ,KG19A3VTU       ,6350000
KGH03010700     ,KG100HG         ,6721000
KGH03010701     ,KG100HGVTU      ,5900000
KGH03011500     ,KG100HB         ,5000000
KGH03011501     ,KG100HBVTU      ,5999500
KGH03011601     ,KG09G4VTU       ,5445700
KGH03012801     ,KG100HKVTU      ,7765300
KGH03012801     ,KG100HKVTU      ,12749000
KGH03013400     ,KG10A4VTU       ,9878000
KGH03013501     ,KG19G4MKVTU     ,4361700
KGH03013600     ,KG100HU         ,5700000
KGH03014400     ,KG10G5VTU       ,7733000
KGH03016700     ,KG100MED        ,9000000
KGH03017100     ,KG100ES         ,7110000
KGH03022300     ,KG10A6S         ,7881000
KGP01009000     ,KGP01009000     ,169400
KGW44008100     ,KG399IC1        ,10648000
KGW44008600     ,KG329IC1        ,5929000
KGW44010800     ,KG328DM2        ,9130000
KGW44011700     ,KG608A1         ,17501000
KGW44011800     ,KG498C2         ,8600000
SPH0310400500   ,SPH0310400500   ,275000
SPH0355000900   ,SPH0355000900   ,308000
SPH0372001000   ,LOI SO 9 - HP   ,275000
SPH0372001000   ,LOI SO 9 - HP   ,280000
KGB47000700     ,KG6100N         ,3300000
KGB47001000     ,KG6202          ,2200000
KGB47001300     ,KG6105          ,3520000
KGB47003000     ,KG6116N         ,3212000
KGB48000400     ,KG6300          ,400000
KGB48000600     ,KG6002          ,566000
KGE05001200     ,KG60N           ,3850000
KGE05001700     ,KG64            ,3140000
KGE05003000     ,KG664Y          ,3100000
KGE05007800     ,KG588W          ,4180000
KGE05008100     ,KG72A2          ,3751000
KGE05008900     ,KG73R2          ,2254200
KGE18004602     ,PT1618          ,8250000
KGE18005000     ,PT2832          ,12650000
KGH01006802     ,KG-120          ,13000000
KGH03001111     ,KG-108          ,3800000
KGH03004800     ,KG108A          ,4337000
KGH03005200     ,KG100HQ         ,5824980
KGH03005400     ,VTUDEN          ,720000
KGH03005500     ,KG100HA         ,5538000
KGH03005500     ,KG100HA         ,5600000
KGH03006100     ,KG06            ,3340000
KGH03006301     ,KG08VTU         ,4785000
KGH03006401     ,KG110AVTU       ,5560000
KGH03006600     ,KGMC09          ,2950000
KGH03006800     ,KG01G4          ,3730000
KGH03006900     ,KG02G4          ,3850000
KGH03009700     ,KG100HCVTU      ,0
KGH03009700     ,KG100HCVTU      ,5520000
KGH03010301     ,KG07VTU         ,3000000
KGH03010701     ,KG100HGVTU      ,6710000
KGH03011500     ,KG100HB         ,5445700
KGH03011500     ,KG100HB         ,5775000
KGH03012900     ,KG108H          ,5192000
KGH03012901     ,KG108HVTU       ,4950000
KGH03013600     ,KG100HU         ,4720000
KGH03014200     ,KG100HU+        ,10945000
KGH03014400     ,KG10G5VTU       ,7030000
KGH03014800     ,KG08G5VTU       ,4281600
KGH03015700     ,KG3500AVTU      ,4683300
KGH03015700     ,KG3500AVTU      ,6390000
KGH03015800     ,KG1054LT-5      ,50090000
KGH03016700     ,KG100MED        ,9560565
KGH03017200     ,KG100EO         ,9350000
KGH03017800     ,KG19A3-UVVTU    ,1899370
KGH03020400     ,KG50G4VTU       ,5340000
KGH21130000     ,KGH21130000     ,30000
KGS19010500     ,KGS19010500     ,1060000
KGW44008100     ,KG399IC1        ,9680000
KGW44009300     ,KG265NC1        ,0
KGW44009600     ,KG328NC2        ,5892125
KGW44010000     ,KG409CT1        ,11800000
KGW44010100     ,KG409CT2        ,12200000
KGW44010100     ,KG409CT2        ,13420000
KGW44010400     ,KG400DM2        ,7339625
KGW44010700     ,KG268DM2        ,6394625
KGW44011300     ,KG168NC1        ,3967500
SPE1806000600   ,SPE1806000600   ,3650000
SPE1860000100   ,SPE1860000100   ,4300000
SPH0302004000   ,SPH0302004000   ,300000
SPH0302004000   ,SPH0302004000   ,330000
SPH0310400600   ,SPH0310400600   ,275000
SPH0355000100   ,SPH0355000100   ,240000
SPH0372000900   ,LOI SO 8 - HP   ,280000
KGB47000200     ,KG6201          ,2486000
KGB47001800     ,KG6210          ,1990000
KGB47002500     ,KG6104N         ,2228800
KGB48000100     ,KG6303P         ,980000
KGE05002900     ,KG660Y          ,2450000
KGE05003000     ,KG664Y          ,2300000
KGE05005500     ,KG69A3N         ,2600000
KGE05006100     ,KG516N          ,2900000
KGE05007100     ,KG518H          ,1980000
KGE05007900     ,KG70A2          ,3630000
KGE05009500     ,KG79A2          ,2020200
KGE05009600     ,KG78S2          ,1650000
KGE05009700     ,KG73R5          ,3290000
KGE18003900     ,DI1414          ,4300000
KGE18004700     ,PT1820          ,9680000
KGE18004800     ,PT2022          ,6875000
KGE18004900     ,PT2426          ,11600000
KGE18005801     ,KGE18005801     ,4780000
KGE18006001     ,KGE18006001     ,5400000
KGE18006201     ,KGE18006201     ,6740000
KGH03002106     ,KG-109          ,4200000
KGH03004500     ,KG104A          ,3740000
KGH03004500     ,KG104A          ,3810000
KGH03004800     ,KG108A          ,4400000
KGH03004804     ,KG108AVTU       ,3461250
KGH03004804     ,KG108AVTU       ,6435000
KGH03004805     ,KG-108VTU       ,4149600
KGH03004805     ,KG-108VTU       ,4450000
KGH03004904     ,KG109AVTU       ,4005383
KGH03005200     ,KG100HQ         ,4756150
KGH03005200     ,KG100HQ         ,6110000
KGH03006300     ,KG08            ,4037000
KGH03006301     ,KG08VTU         ,3150000
KGH03006600     ,KGMC09          ,3050000
KGH03007200     ,KG100HP         ,7810000
KGH03008601     ,KG10A3VTU       ,7250000
KGH03010400     ,KG100HM         ,6600000
KGH03010601     ,KG19A3VTU       ,6990000
KGH03010701     ,KG100HGVTU      ,6100000
KGH03011000     ,KG09            ,4224000
KGH03011800     ,KG08G4          ,6292000
KGH03011801     ,KG08G4VTU       ,5436470
KGH03011801     ,KG08G4VTU       ,7007000
